Date,Open,High,Low,Close,Volume
201708160931,10.17,10.17,10.15,10.15,109
201708160932,10.13,10.13,10.13,10.13,40
201708160933,10.13,10.15,10.13,10.13,53
201708160934,10.13,10.13,10.13,10.13,3
201708160935,10.13,10.13,10.13,10.13,10
201708160936,10.15,10.16,10.15,10.16,13
201708160937,10.17,10.17,10.17,10.17,13
201708160938,10.16,10.18,10.15,10.18,184
201708160939,10.18,10.19,10.18,10.18,100
201708160940,10.19,10.19,10.18,10.18,43
201708160941,10.18,10.18,10.17,10.17,56
201708160942,10.17,10.22,10.17,10.22,328
201708160943,10.22,10.22,10.22,10.22,334
201708160944,10.21,10.22,10.21,10.22,300
201708160945,10.23,10.23,10.22,10.22,30
201708160946,10.23,10.23,10.22,10.23,163
201708160947,10.23,10.23,10.23,10.23,71
201708160948,10.23,10.23,10.22,10.22,116
201708160949,10.22,10.23,10.22,10.22,211
201708160950,10.22,10.22,10.21,10.21,63
201708160951,10.21,10.22,10.2,10.2,150
201708160952,10.21,10.21,10.2,10.2,38
201708160953,10.21,10.21,10.2,10.21,60
201708160954,10.21,10.22,10.21,10.21,111
201708160955,10.22,10.22,10.21,10.22,95
201708160956,10.22,10.22,10.22,10.22,482
201708160957,10.22,10.22,10.21,10.21,156
201708160958,10.22,10.22,10.21,10.21,62
201708160959,10.21,10.21,10.21,10.21,5
201708161000,10.21,10.21,10.21,10.21,12
201708161001,10.22,10.22,10.21,10.21,20
201708161002,10.22,10.22,10.21,10.21,147
201708161003,10.21,10.22,10.21,10.22,39
201708161004,10.22,10.22,10.21,10.22,141
201708161005,10.22,10.22,10.21,10.22,133
201708161006,10.21,10.22,10.2,10.2,171
201708161007,10.21,10.21,10.2,10.2,104
201708161008,10.2,10.21,10.2,10.21,298
201708161009,10.21,10.21,10.2,10.21,107
201708161010,10.2,10.21,10.2,10.2,78
201708161011,10.19,10.19,10.19,10.19,182
201708161012,10.19,10.21,10.19,10.21,30
201708161013,10.19,10.19,10.17,10.17,97
201708161014,10.17,10.17,10.15,10.15,212
201708161015,10.15,10.19,10.15,10.19,39
201708161016,10.19,10.19,10.15,10.19,24
201708161017,10.16,10.16,10.16,10.16,26
201708161018,10.15,10.16,10.15,10.16,51
201708161019,10.16,10.16,10.16,10.16,88
201708161020,10.19,10.19,10.17,10.19,45
201708161021,10.17,10.17,10.17,10.17,29
201708161022,10.17,10.17,10.17,10.17,36
201708161023,10.17,10.17,10.17,10.17,28
201708161024,10.17,10.19,10.17,10.19,128
201708161025,10.19,10.19,10.19,10.19,0
201708161026,10.19,10.19,10.19,10.19,0
201708161027,10.19,10.19,10.19,10.19,0
201708161028,10.18,10.19,10.17,10.19,249
201708161029,10.17,10.17,10.17,10.17,14
201708161030,10.18,10.18,10.17,10.17,57
201708161031,10.18,10.18,10.17,10.18,93
201708161032,10.17,10.18,10.17,10.18,11
201708161033,10.17,10.18,10.17,10.18,40
201708161034,10.18,10.18,10.17,10.18,69
201708161035,10.17,10.18,10.17,10.18,79
201708161036,10.17,10.18,10.17,10.18,42
201708161037,10.17,10.18,10.17,10.17,16
201708161038,10.17,10.18,10.17,10.18,162
201708161039,10.18,10.18,10.18,10.18,10
201708161040,10.19,10.19,10.17,10.19,35
201708161041,10.18,10.19,10.17,10.17,138
201708161042,10.17,10.18,10.17,10.18,28
201708161043,10.17,10.18,10.17,10.18,22
201708161044,10.17,10.18,10.17,10.18,19
201708161045,10.18,10.18,10.17,10.18,30
201708161046,10.17,10.18,10.17,10.18,52
201708161047,10.17,10.18,10.17,10.17,38
201708161048,10.17,10.18,10.16,10.18,173
201708161049,10.16,10.17,10.16,10.16,413
201708161050,10.16,10.17,10.16,10.16,140
201708161051,10.17,10.17,10.16,10.17,254
201708161052,10.17,10.17,10.17,10.17,85
201708161053,10.16,10.17,10.16,10.17,85
201708161054,10.17,10.18,10.17,10.18,68
201708161055,10.17,10.17,10.16,10.16,152
201708161056,10.16,10.19,10.16,10.16,310
201708161057,10.16,10.16,10.15,10.16,155
201708161058,10.15,10.16,10.15,10.15,181
201708161059,10.15,10.16,10.15,10.15,148
201708161100,10.15,10.15,10.14,10.15,90
201708161101,10.14,10.15,10.14,10.15,97
201708161102,10.15,10.15,10.15,10.15,25
201708161103,10.15,10.15,10.15,10.15,76
201708161104,10.15,10.16,10.15,10.16,37
201708161105,10.17,10.17,10.15,10.17,35
201708161106,10.16,10.16,10.16,10.16,34
201708161107,10.16,10.16,10.15,10.15,121
201708161108,10.15,10.18,10.15,10.16,185
201708161109,10.16,10.16,10.16,10.16,0
201708161110,10.16,10.17,10.16,10.16,15
201708161111,10.16,10.16,10.16,10.16,51
201708161112,10.17,10.17,10.16,10.16,46
201708161113,10.17,10.17,10.17,10.17,15
201708161114,10.17,10.17,10.17,10.17,10
201708161115,10.17,10.17,10.17,10.17,0
201708161116,10.17,10.18,10.17,10.18,161
201708161117,10.17,10.18,10.17,10.18,30
201708161118,10.18,10.18,10.18,10.18,9
201708161119,10.18,10.18,10.18,10.18,47
201708161120,10.17,10.18,10.17,10.18,54
201708161121,10.19,10.19,10.19,10.19,30
201708161122,10.18,10.19,10.18,10.19,16
201708161123,10.19,10.19,10.19,10.19,55
201708161124,10.19,10.19,10.19,10.19,6
201708161125,10.19,10.19,10.19,10.19,0
201708161126,10.2,10.2,10.2,10.2,32
201708161127,10.2,10.2,10.2,10.2,72
201708161128,10.2,10.2,10.19,10.19,12
201708161129,10.2,10.2,10.2,10.2,8
201708161130,10.2,10.2,10.2,10.2,76
201708161301,10.21,10.21,10.2,10.2,137
201708161302,10.22,10.22,10.22,10.22,24
201708161303,10.22,10.22,10.21,10.21,53
201708161304,10.2,10.2,10.2,10.2,124
201708161305,10.2,10.2,10.2,10.2,78
201708161306,10.2,10.2,10.2,10.2,9
201708161307,10.2,10.2,10.2,10.2,0
201708161308,10.21,10.21,10.21,10.21,9
201708161309,10.21,10.21,10.21,10.21,2
201708161310,10.2,10.21,10.2,10.21,153
201708161311,10.2,10.2,10.2,10.2,36
201708161312,10.2,10.2,10.2,10.2,0
201708161313,10.19,10.19,10.19,10.19,1
201708161314,10.19,10.19,10.19,10.19,1
201708161315,10.19,10.19,10.19,10.19,0
201708161316,10.2,10.2,10.2,10.2,25
201708161317,10.2,10.2,10.2,10.2,2
201708161318,10.2,10.2,10.2,10.2,10
201708161319,10.19,10.2,10.19,10.2,72
201708161320,10.2,10.2,10.2,10.2,0
201708161321,10.2,10.2,10.19,10.19,50
201708161322,10.2,10.2,10.19,10.19,42
201708161323,10.19,10.19,10.19,10.19,12
201708161324,10.18,10.18,10.18,10.18,289
201708161325,10.18,10.2,10.18,10.18,30
201708161326,10.2,10.2,10.2,10.2,153
201708161327,10.2,10.21,10.2,10.21,31
201708161328,10.2,10.21,10.2,10.21,31
201708161329,10.21,10.21,10.21,10.21,0
201708161330,10.2,10.2,10.2,10.2,19
201708161331,10.2,10.2,10.2,10.2,12
201708161332,10.2,10.2,10.2,10.2,0
201708161333,10.2,10.2,10.2,10.2,19
201708161334,10.19,10.2,10.19,10.2,73
201708161335,10.2,10.2,10.2,10.2,6
201708161336,10.21,10.21,10.21,10.21,176
201708161337,10.22,10.22,10.22,10.22,88
201708161338,10.22,10.22,10.21,10.22,103
201708161339,10.21,10.21,10.21,10.21,40
201708161340,10.21,10.21,10.21,10.21,23
201708161341,10.21,10.23,10.21,10.23,602
201708161342,10.22,10.23,10.22,10.23,211
201708161343,10.23,10.23,10.23,10.23,0
201708161344,10.23,10.23,10.22,10.23,203
201708161345,10.23,10.24,10.23,10.24,60
201708161346,10.24,10.24,10.23,10.23,36
201708161347,10.23,10.23,10.23,10.23,37
201708161348,10.23,10.24,10.23,10.24,185
201708161349,10.23,10.25,10.23,10.24,277
201708161350,10.25,10.25,10.24,10.25,204
201708161351,10.24,10.25,10.24,10.24,31
201708161352,10.25,10.25,10.24,10.24,240
201708161353,10.24,10.24,10.24,10.24,93
201708161354,10.24,10.24,10.24,10.24,13
201708161355,10.23,10.24,10.23,10.24,259
201708161356,10.24,10.26,10.24,10.25,732
201708161357,10.26,10.26,10.25,10.26,32
201708161358,10.27,10.29,10.27,10.29,936
201708161359,10.29,10.3,10.29,10.3,888
201708161400,10.28,10.29,10.28,10.29,237
201708161401,10.28,10.29,10.28,10.29,324
201708161402,10.29,10.29,10.29,10.29,206
201708161403,10.29,10.29,10.28,10.29,588
201708161404,10.3,10.3,10.27,10.29,837
201708161405,10.29,10.31,10.29,10.31,139
201708161406,10.31,10.32,10.3,10.3,434
201708161407,10.3,10.3,10.3,10.3,129
201708161408,10.3,10.31,10.3,10.3,295
201708161409,10.3,10.3,10.3,10.3,132
201708161410,10.3,10.3,10.29,10.29,70
201708161411,10.3,10.3,10.3,10.3,691
201708161412,10.3,10.31,10.3,10.31,196
201708161413,10.31,10.32,10.31,10.31,238
201708161414,10.31,10.31,10.31,10.31,114
201708161415,10.31,10.31,10.31,10.31,136
201708161416,10.3,10.3,10.3,10.3,385
201708161417,10.3,10.32,10.3,10.32,623
201708161418,10.32,10.33,10.32,10.32,77
201708161419,10.32,10.38,10.32,10.38,1347
201708161420,10.39,10.46,10.39,10.45,1679
201708161421,10.45,10.46,10.42,10.42,1351
201708161422,10.41,10.42,10.39,10.41,757
201708161423,10.4,10.4,10.39,10.39,857
201708161424,10.39,10.4,10.39,10.39,208
201708161425,10.4,10.4,10.38,10.38,1296
201708161426,10.38,10.4,10.38,10.39,180
201708161427,10.39,10.39,10.39,10.39,354
201708161428,10.39,10.41,10.39,10.41,1119
201708161429,10.42,10.45,10.42,10.43,1007
201708161430,10.44,10.44,10.4,10.41,421
201708161431,10.41,10.41,10.4,10.41,382
201708161432,10.41,10.41,10.4,10.41,235
201708161433,10.4,10.4,10.4,10.4,515
201708161434,10.4,10.4,10.39,10.39,393
201708161435,10.39,10.39,10.37,10.37,347
201708161436,10.37,10.38,10.37,10.38,167
201708161437,10.37,10.4,10.37,10.4,530
201708161438,10.4,10.4,10.36,10.38,352
201708161439,10.39,10.39,10.36,10.36,420
201708161440,10.37,10.38,10.37,10.37,125
201708161441,10.37,10.37,10.37,10.37,197
201708161442,10.37,10.38,10.37,10.37,85
201708161443,10.38,10.38,10.36,10.37,334
201708161444,10.37,10.39,10.37,10.39,458
201708161445,10.39,10.43,10.39,10.43,797
201708161446,10.41,10.43,10.41,10.42,761
201708161447,10.42,10.44,10.42,10.44,885
201708161448,10.44,10.45,10.42,10.42,190
201708161449,10.42,10.45,10.41,10.42,978
201708161450,10.46,10.47,10.45,10.45,1231
201708161451,10.46,10.46,10.44,10.44,720
201708161452,10.44,10.45,10.44,10.44,605
201708161453,10.45,10.57,10.44,10.53,2702
201708161454,10.56,10.56,10.48,10.5,983
201708161455,10.52,10.52,10.48,10.5,1539
201708161456,10.49,10.5,10.48,10.5,1564
201708161457,10.5,10.58,10.48,10.57,6597
201708161458,10.57,10.58,10.53,10.55,2461
201708161459,10.54,10.97,10.54,10.97,4775
201708161500,10.79,10.83,10.7,10.78,2504
201708170931,10.76,10.76,10.63,10.64,11066
201708170932,10.64,10.66,10.62,10.66,1168
201708170933,10.61,10.64,10.61,10.61,774
201708170934,10.62,10.65,10.6,10.65,1180
201708170935,10.64,10.8,10.64,10.76,3578
201708170936,10.78,10.8,10.74,10.8,5738
201708170937,10.79,10.95,10.79,10.89,5970
201708170938,10.84,10.9,10.76,10.79,5354
201708170939,10.8,10.8,10.75,10.77,1020
201708170940,10.76,10.77,10.72,10.75,533
201708170941,10.77,10.78,10.74,10.76,659
201708170942,10.76,10.8,10.76,10.77,930
201708170943,10.77,10.79,10.74,10.74,794
201708170944,10.74,10.74,10.67,10.7,2195
201708170945,10.7,10.73,10.68,10.73,343
201708170946,10.73,10.75,10.72,10.73,483
201708170947,10.71,10.73,10.71,10.71,347
201708170948,10.71,10.71,10.71,10.71,71
201708170949,10.71,10.71,10.7,10.71,316
201708170950,10.7,10.72,10.7,10.71,269
201708170951,10.7,10.71,10.68,10.69,248
201708170952,10.69,10.7,10.68,10.69,349
201708170953,10.69,10.69,10.68,10.68,344
201708170954,10.68,10.69,10.68,10.68,147
201708170955,10.68,10.71,10.68,10.71,850
201708170956,10.71,10.73,10.71,10.73,465
201708170957,10.72,10.72,10.69,10.7,200
201708170958,10.68,10.71,10.68,10.7,159
201708170959,10.68,10.75,10.68,10.75,258
201708171000,10.72,10.72,10.7,10.72,700
201708171001,10.7,10.72,10.7,10.7,192
201708171002,10.72,10.72,10.7,10.7,177
201708171003,10.69,10.7,10.69,10.69,296
201708171004,10.7,10.7,10.69,10.69,130
201708171005,10.69,10.7,10.68,10.68,380
201708171006,10.7,10.7,10.69,10.7,210
201708171007,10.7,10.7,10.65,10.65,993
201708171008,10.65,10.65,10.62,10.62,650
201708171009,10.64,10.64,10.62,10.64,343
201708171010,10.65,10.66,10.65,10.66,66
201708171011,10.67,10.7,10.66,10.69,103
201708171012,10.69,10.69,10.67,10.67,136
201708171013,10.67,10.67,10.65,10.65,252
201708171014,10.66,10.66,10.64,10.65,141
201708171015,10.64,10.65,10.64,10.64,82
201708171016,10.64,10.65,10.64,10.64,66
201708171017,10.64,10.65,10.63,10.63,415
201708171018,10.64,10.65,10.64,10.65,76
201708171019,10.65,10.66,10.65,10.66,36
201708171020,10.66,10.66,10.66,10.66,11
201708171021,10.67,10.67,10.66,10.67,26
201708171022,10.67,10.67,10.66,10.67,223
201708171023,10.67,10.68,10.67,10.67,70
201708171024,10.67,10.67,10.62,10.62,1181
201708171025,10.62,10.62,10.61,10.61,514
201708171026,10.61,10.62,10.61,10.62,122
201708171027,10.62,10.62,10.61,10.62,187
201708171028,10.61,10.62,10.61,10.62,23
201708171029,10.62,10.62,10.61,10.61,86
201708171030,10.62,10.62,10.62,10.62,188
201708171031,10.62,10.62,10.61,10.62,109
201708171032,10.62,10.62,10.62,10.62,105
201708171033,10.63,10.63,10.61,10.62,322
201708171034,10.61,10.62,10.56,10.57,2106
201708171035,10.56,10.57,10.55,10.56,725
201708171036,10.57,10.57,10.55,10.56,462
201708171037,10.55,10.57,10.55,10.57,128
201708171038,10.57,10.58,10.57,10.57,93
201708171039,10.57,10.59,10.57,10.59,390
201708171040,10.6,10.6,10.59,10.6,110
201708171041,10.61,10.62,10.61,10.62,43
201708171042,10.62,10.62,10.6,10.6,396
201708171043,10.62,10.62,10.6,10.62,48
201708171044,10.62,10.62,10.6,10.6,46
201708171045,10.6,10.6,10.59,10.6,121
201708171046,10.58,10.59,10.58,10.59,133
201708171047,10.58,10.58,10.57,10.57,102
201708171048,10.58,10.59,10.58,10.59,74
201708171049,10.58,10.6,10.58,10.6,43
201708171050,10.59,10.6,10.59,10.59,79
201708171051,10.59,10.59,10.59,10.59,31
201708171052,10.59,10.59,10.59,10.59,70
201708171053,10.6,10.6,10.59,10.59,97
201708171054,10.59,10.59,10.57,10.57,323
201708171055,10.57,10.58,10.57,10.58,201
201708171056,10.57,10.58,10.57,10.58,27
201708171057,10.57,10.57,10.56,10.56,424
201708171058,10.55,10.56,10.55,10.55,313
201708171059,10.55,10.56,10.55,10.56,207
201708171100,10.56,10.56,10.55,10.56,100
201708171101,10.56,10.56,10.56,10.56,91
201708171102,10.57,10.57,10.55,10.55,77
201708171103,10.56,10.56,10.55,10.55,199
201708171104,10.56,10.57,10.56,10.57,82
201708171105,10.56,10.56,10.56,10.56,59
201708171106,10.56,10.57,10.56,10.57,43
201708171107,10.57,10.59,10.57,10.59,43
201708171108,10.59,10.59,10.59,10.59,62
201708171109,10.6,10.62,10.6,10.6,125
201708171110,10.62,10.62,10.61,10.61,25
201708171111,10.6,10.61,10.6,10.61,69
201708171112,10.61,10.61,10.61,10.61,5
201708171113,10.6,10.6,10.6,10.6,5
201708171114,10.6,10.6,10.6,10.6,182
201708171115,10.6,10.61,10.59,10.6,120
201708171116,10.59,10.59,10.59,10.59,9
201708171117,10.6,10.61,10.6,10.61,67
201708171118,10.61,10.61,10.6,10.6,73
201708171119,10.58,10.6,10.58,10.6,50
201708171120,10.6,10.6,10.6,10.6,9
201708171121,10.6,10.61,10.58,10.61,45
201708171122,10.61,10.61,10.61,10.61,0
201708171123,10.6,10.6,10.6,10.6,20
201708171124,10.6,10.6,10.6,10.6,174
201708171125,10.6,10.6,10.6,10.6,39
201708171126,10.6,10.6,10.6,10.6,2
201708171127,10.6,10.6,10.59,10.6,135
201708171128,10.6,10.6,10.6,10.6,8
201708171129,10.6,10.6,10.59,10.59,108
201708171130,10.61,10.61,10.59,10.59,125
201708171301,10.59,10.61,10.59,10.61,103
201708171302,10.62,10.62,10.62,10.62,22
201708171303,10.61,10.62,10.61,10.62,23
201708171304,10.61,10.61,10.61,10.61,21
201708171305,10.61,10.61,10.61,10.61,21
201708171306,10.61,10.62,10.61,10.61,107
201708171307,10.61,10.61,10.61,10.61,0
201708171308,10.63,10.63,10.63,10.63,206
201708171309,10.63,10.65,10.63,10.65,87
201708171310,10.65,10.65,10.65,10.65,65
201708171311,10.65,10.65,10.65,10.65,159
201708171312,10.65,10.65,10.65,10.65,105
201708171313,10.65,10.65,10.65,10.65,43
201708171314,10.66,10.66,10.65,10.65,77
201708171315,10.65,10.66,10.65,10.66,182
201708171316,10.65,10.65,10.63,10.63,216
201708171317,10.62,10.62,10.62,10.62,20
201708171318,10.63,10.63,10.62,10.62,188
201708171319,10.62,10.62,10.61,10.61,67
201708171320,10.6,10.6,10.59,10.59,582
201708171321,10.59,10.6,10.59,10.6,705
201708171322,10.6,10.6,10.6,10.6,312
201708171323,10.61,10.61,10.6,10.6,23
201708171324,10.62,10.62,10.62,10.62,83
201708171325,10.62,10.62,10.62,10.62,30
201708171326,10.62,10.62,10.61,10.61,33
201708171327,10.61,10.62,10.6,10.62,123
201708171328,10.62,10.62,10.62,10.62,0
201708171329,10.62,10.62,10.62,10.62,5
201708171330,10.62,10.62,10.62,10.62,28
201708171331,10.61,10.62,10.61,10.62,13
201708171332,10.62,10.62,10.61,10.61,112
201708171333,10.61,10.61,10.6,10.6,22
201708171334,10.6,10.6,10.6,10.6,15
201708171335,10.6,10.61,10.6,10.61,44
201708171336,10.61,10.61,10.6,10.61,241
201708171337,10.61,10.62,10.61,10.62,158
201708171338,10.63,10.63,10.61,10.61,11
201708171339,10.63,10.63,10.63,10.63,27
201708171340,10.64,10.64,10.63,10.64,50
201708171341,10.65,10.67,10.64,10.67,115
201708171342,10.68,10.68,10.66,10.66,187
201708171343,10.66,10.66,10.64,10.64,95
201708171344,10.64,10.64,10.64,10.64,10
