date,type,price,quantity
20171215110527,buy,21.09,2500
20171215110619,buy,21.09,2500
20171215110800,buy,21.08,7000
20171215111148,buy,21,7000
20171215111158,buy,21,3500
20171215111205,buy,21,2000
20171215111211,buy,21,2000
20171215111221,buy,21,4000
20171215111438,buy,20.98,4000
20171218144818,buy,20.81,7000
20171218144826,buy,20.82,7000
20171218144834,buy,20.83,5000
20171218144843,buy,20.84,5000
20171218144847,buy,20.84,5000
20171218144851,buy,20.85,5000
20171218144906,buy,20.9,22900
20171218145802,buy-pending,20.83,5000
20171218145803,buy-pending,20.84,5000
20171218141704,buy,20.75,7800
20171218141710,buy,20.71,4600
20171218141923,buy,20.79,3700
20171218141927,buy,20.8,3000
20171218141937,buy,20.76,2400
20171218142530,buy,20.72,4700
20171218142533,buy,20.74,2300
20171218144707,buy,20.81,2400
20171218144938,sell,20.9,8600
20171218144951,sell,20.9,8600
20171218145109,sell,20.86,17300
20171219101720,sell,21.2,26800
20171219101727,sell,21.2,13400
20171219105915,sell,21.16,13400
20171219101719,sell,21.2,15400
20171219101725,sell,21.2,7700
20171219102126,sell,21.18,7800
20171220140121,buy-pending,20.86,4300
20171220140129,buy,20.9,4300
20171220140134,buy-pending,20.9,4300
20171220140143,buy,20.97,4300
20171220140149,buy,20.97,4300
20171220140155,buy,21.16,4300
20171220140159,buy,21.16,4300
20171220140204,buy,21.16,4300
20171220140215,buy,21.11,4300
20171220145011,buy,21.21,10200
20171220145017,buy-pending,21.22,10200
20171220145025,buy,21.24,10200
20171220145044,buy,21.27,5700
20171220145057,buy,21.3,8700
20171220145110,buy,21.33,4200
20171220145123,buy,21.27,4200
20171220145256,buy,21.32,5500
20171220145311,buy,21.35,19000
20171220145315,buy,21.35,19000
20171220145322,buy,21.4,17700
20171220145332,buy,21.53,5500
20171220145445,buy-pending,21.35,19000
20171220145653,buy,21.44,15400
20171220145713,buy,21.43,10600
20171220145732,buy,21.45,5900
20171220145806,buy,21.48,5900
20171220131703,buy,20.7,4600
20171220131731,buy,20.69,2900
20171220132739,buy,20.69,2900
20171220132843,buy,20.72,2900
20171220132849,buy,20.72,2900
20171220134915,buy,20.69,3100
20171220135427,buy,20.63,3700
20171220135442,buy,20.67,3700
20171220135455,buy,20.64,3700
20171220135507,buy,20.68,3700
20171220140121,buy-pending,20.86,800
20171220140129,buy,20.9,800
20171220140134,buy-pending,20.9,800
20171220140143,buy,20.97,800
20171220140148,buy,20.97,800
20171220140155,buy,21.16,800
20171220140159,buy,21.16,800
20171220140204,buy,21.16,800
20171220140215,buy,21.11,800
20171220145011,buy-pending,21.21,1900
20171220145017,buy,21.22,1900
20171220145025,buy,21.24,1900
20171220145044,buy,21.27,1000
20171220145057,buy,21.3,1600
20171220145110,buy,21.33,700
20171220145123,buy,21.27,800
20171220145256,buy,21.32,1000
20171220145311,buy,21.35,3500
20171220145315,buy-pending,21.35,3500
20171220145322,buy,21.4,3800
20171220145332,buy,21.53,1000
20171220145653,buy,21.44,2700
20171220145713,buy,21.43,1900
20171220145732,buy,21.45,1000
20171220145806,buy,21.48,1000
20171220140121,buy,20.86,1400
20171220140129,buy-pending,20.9,1400
20171220140134,buy-pending,20.9,1400
20171220140143,buy,20.97,1400
20171220140148,buy,20.97,1400
20171220140155,buy,21.16,1300
20171220140159,buy,21.16,1400
20171220140204,buy,21.16,1300
20171220140215,buy,21.11,1400
20171220145011,buy,21.21,3300
20171220145017,buy-pending,21.22,3300
20171220145025,buy,21.24,3300
20171220145044,buy,21.27,1800
20171220145057,buy,21.3,2800
20171220145110,buy,21.33,1300
20171220145123,buy,21.27,1300
20171220145256,buy,21.32,1800
20171220145311,buy,21.35,6200
20171220145315,buy,21.35,6100
20171220145322,buy,21.4,5700
20171220145332,buy,21.53,1800
20171220145653,buy,21.44,4900
20171220145713,buy,21.43,3400
20171220145732,buy,21.45,1900
20171220145806,buy,21.48,1900
20171220140121,buy-pending,20.86,3600
20171220140129,buy,20.9,3600
20171220140134,buy-pending,20.9,3600
20171220140143,buy,20.97,3600
20171220140149,buy,20.97,3600
20171220140155,buy,21.16,3600
20171220140159,buy,21.16,3600
20171220140204,buy,21.16,3600
20171220140215,buy,21.11,3600
20171220145011,buy-pending,21.21,8500
20171220145017,buy-pending,21.22,8500
20171220145025,buy,21.24,8500
20171220145044,buy,21.27,4800
20171220145057,buy,21.3,7200
20171220145110,buy,21.33,3500
20171220145123,buy,21.27,3500
20171220145256,buy,21.32,4600
20171220145311,buy,21.35,15900
20171220145315,buy-pending,21.35,15800
20171220145322,buy,21.4,17100
20171220145332,buy,21.53,4400
20171220145435,buy-pending,21.35,15800
20171220145653,buy,21.44,14800
20171220145713,buy,21.43,10200
20171220145732,buy,21.45,5700
20171220145806,buy,21.48,5700
20171220130948,buy,20.7,3900
20171220134831,buy,20.7,6900
20171220135530,buy,20.71,3700
20171220135533,buy,20.71,3700
20171220135549,buy-pending,20.65,13700
20171220135648,buy,20.71,6900
20171220135712,buy,20.7,6900
20171220135732,buy-pending,20.7,3900
20171220135737,buy,20.71,3900
20171220135742,buy,20.72,3900
20171220135749,buy,20.73,3900
20171220135757,buy-pending,20.73,3900
20171220135801,buy,20.74,3900
20171220135827,buy,20.75,33900
20171220135909,buy,20.77,3900
20171220135924,buy,20.8,6100
20171220135927,buy,20.8,6100
20171220135935,buy,20.86,6100
20171220135947,buy,20.9,6100
20171220135952,buy,20.92,6100
20171220140006,buy,21,6100
20171220140122,buy-pending,20.86,3400
20171220140130,buy,20.9,3400
20171220140135,buy-pending,20.9,3400
20171220140144,buy,20.97,3400
20171220140149,buy,20.97,3400
20171220140156,buy,21.16,3300
20171220140200,buy,21.16,3300
20171220140205,buy,21.16,3300
20171220140216,buy,21.11,3300
20171220140409,buy-pending,21.2,166000
20171220140422,buy-pending,21.2,166000
20171220140739,buy-pending,21.27,56300
20171220140842,buy-pending,21.27,56300
20171220145012,buy-pending,21.21,7900
20171220145018,buy-pending,21.22,7900
20171220145026,buy-pending,21.24,7900
20171220145045,buy,21.27,4500
20171220145058,buy,21.3,6800
20171220145110,buy,21.33,3300
20171220145124,buy,21.27,3300
20171220145235,buy,21.3,118000
20171220145257,buy,21.32,200
20171220145311,buy,21.35,900
20171220145316,buy-pending,21.35,1000
20171220145323,buy,21.4,1000
20171220145333,buy,21.53,200
20171220145414,buy-pending,21.3,118000
20171220145428,buy-pending,21.35,1000
20171220145654,buy,21.44,7500
20171220145714,buy,21.43,5200
20171220145733,buy,21.45,2900
20171220145807,buy,21.48,2900
20171220140503,buy,21.21,1900
20171220140615,buy-pending,21.14,1900
20171220145041,buy-pending,21.12,2000
20171220140525,buy,21.2,2100
20171220141306,buy-pending,21.14,1900
20171220140543,buy-pending,21.13,2400
20171220145105,buy,21.31,3000
20171220145038,buy-pending,21.13,2400
20171220145033,buy,21.25,2600
20171220140336,buy,21.12,2000
20171220142256,buy,21.23,5000
20171220142357,buy-pending,21.27,2900
20171220142340,buy-pending,21.26,2900
20171220142305,buy-pending,21.23,5000
20171220142347,buy-pending,21.27,2900
20171220142410,buy,21.29,2900
20171220142323,buy-pending,21.26,2900
20171220142449,buy,21.25,5000
20171220094851,buy,20.89,10000
20171220094909,buy,20.87,3500
20171220095106,buy,20.84,3500
20171220095108,buy,20.84,3500
20171220095132,buy,20.84,3500
20171220095209,buy,20.83,3000
20171220095254,buy,20.84,3000
20171220095300,buy,20.83,3000
20171220095312,buy,20.84,3000
20171220105703,buy,20.73,3000
20171220105709,buy,20.73,3000
20171220105715,buy,20.74,3000
20171220105720,buy,20.75,3000
20171220105728,buy,20.75,3000
20171220112257,buy,20.72,22500
20171220145311,buy,21.35,100
20171220145315,buy-pending,21.35,100
20171220145323,buy,21.4,100
20171220145441,buy-pending,21.35,100
20171220145653,buy,21.44,100
20171220145713,buy,21.43,100
20171220140121,buy-pending,20.86,100
20171220140129,buy,20.9,100
20171220140134,buy-pending,20.9,100
20171220140143,buy,20.97,100
20171220140148,buy,20.97,100
20171220140155,buy,21.16,100
20171220140159,buy,21.16,100
20171220140204,buy,21.16,100
20171220140215,buy,21.11,100
20171220145011,buy-pending,21.21,200
20171220145017,buy-pending,21.22,200
20171220145025,buy-pending,21.24,200
20171220145044,buy,21.27,100
20171220145057,buy,21.3,200
20171220145110,buy,21.33,100
20171220145123,buy,21.27,100
20171220145256,buy,21.32,100
20171220145311,buy,21.35,500
20171220145315,buy-pending,21.35,500
20171220145322,buy,21.4,600
20171220145332,buy,21.53,100
20171220145437,buy-pending,21.35,500
20171220145653,buy,21.44,500
20171220145713,buy,21.43,400
20171220145732,buy,21.45,200
20171220145806,buy,21.48,200
20171220145011,buy,21.21,100
20171220145017,buy-pending,21.22,100
20171220145025,buy,21.24,100
20171220145057,buy,21.3,100
20171220145311,buy,21.35,200
20171220145315,buy,21.35,200
20171220145322,buy,21.4,200
20171220145653,buy,21.44,200
20171220145713,buy,21.43,200
20171220145732,buy,21.45,100
20171220145806,buy,21.48,100
20171220132418,buy,20.73,1000
20171220131245,buy,20.6900,3100
20171220131225,buy,20.7000,3100
20171220131214,buy,20.7200,3100
20171220131215,buy,20.7200,7900
20171220131205,buy,20.7100,10000
20171220131254,buy,20.7500,7900
20171220131235,buy,20.7400,4500
20171220131224,buy,20.7200,1900
20171220131244,buy,20.7200,6900
20171220131243,buy,20.7300,14600
20171220131233,buy,20.6800,3100
20171220131224,buy,20.7000,3900
20171221093022,sell,21.9,3800
20171221093031,sell,21.9,3800
20171221093053,sell,21.9,3800
20171221093119,sell,21.93,3800
20171221093138,sell,21.94,3800
20171221093205,sell,22.06,3800
20171221093229,sell,22.17,5700
20171221093243,sell,22.24,3700
20171221093301,sell,22.3,3700
20171221093311,sell,22.34,3700
20171221093323,sell,22.39,3700
20171221093335,sell,22.34,3700
20171221093339,sell,22.3,3700
20171221093341,sell,22.3,3700
20171221093343,sell,22.3,3700
20171221093351,sell,22.33,3700
20171221093405,sell,22.28,3700
20171221093406,sell,22.28,3700
20171221093411,sell,22.25,3700
20171221093416,sell,22.25,3700
20171221093419,sell,22.25,3700
20171221093427,sell,22.25,3700
20171221093429,sell,22.25,3700
20171221093450,sell,22.32,3600
20171221093501,sell,22.34,3600
20171221093514,sell,22.3,3600
20171221093521,sell-pending,22.26,3600
20171221093544,sell-pending,22.26,3600
20171221093555,sell,22.18,3400
20171221093607,sell,22.2,3400
20171221093649,sell,22.26,3400
20171221093740,sell,22.34,3400
20171221093816,sell,22.42,3400
20171221104048,buy-pending,21.21,11500
20171221104048,buy-pending,21.26,7700
20171221104048,buy-pending,21.51,23700
20171221093022,sell,21.9,1300
20171221093031,sell,21.9,1300
20171221093053,sell,21.9,1300
20171221093119,sell,21.93,1300
20171221093138,sell,21.94,1300
20171221093205,sell,22.06,1300
20171221093229,sell,22.17,2000
20171221093243,sell,22.24,1300
20171221093301,sell,22.3,1300
20171221093311,sell,22.34,1300
20171221093323,sell,22.39,1300
20171221093335,sell,22.34,1300
20171221093339,sell,22.3,1300
20171221093341,sell,22.3,1300
20171221093343,sell,22.3,1300
20171221093351,sell,22.33,1300
20171221093405,sell,22.28,1300
20171221093406,sell,22.28,1300
20171221093411,sell,22.25,1300
20171221093416,sell,22.25,1300
20171221093419,sell,22.25,1300
20171221093427,sell,22.25,1300
20171221093429,sell,22.25,1300
20171221093450,sell,22.32,1300
20171221093501,sell,22.34,1300
20171221093514,sell,22.3,1400
20171221093521,sell-pending,22.26,1400
20171221093544,sell-pending,22.26,1400
20171221093555,sell,22.18,1300
20171221093607,sell,22.2,1300
20171221093649,sell,22.26,1300
20171221093740,sell,22.34,1300
20171221093816,sell,22.42,1300
20171221104048,buy-pending,21.51,6900
20171221093022,sell,21.9,1100
20171221093031,sell,21.9,1100
20171221093053,sell,21.9,1100
20171221093119,sell,21.93,1100
20171221093138,sell,21.94,1100
20171221093205,sell,22.06,1100
20171221093229,sell,22.17,1700
20171221093243,sell,22.24,1100
20171221093301,sell,22.3,1100
20171221093311,sell,22.34,1100
20171221093323,sell,22.39,1100
20171221093335,sell,22.34,1100
20171221093339,sell,22.3,1100
20171221093341,sell,22.3,1100
20171221093343,sell,22.3,1100
20171221093351,sell,22.33,1100
20171221093405,sell,22.28,1100
20171221093406,sell,22.28,1100
20171221093411,sell,22.25,1200
20171221093416,sell,22.25,1200
20171221093419,sell,22.25,1200
20171221093427,sell,22.25,1200
20171221093429,sell,22.25,1100
20171221093450,sell,22.32,1200
20171221093501,sell,22.34,1200
20171221093514,sell,22.3,1100
20171221093521,sell-pending,22.26,1200
20171221093544,sell-pending,22.26,1200
20171221093555,sell,22.18,1100
20171221093607,sell,22.2,1100
20171221093649,sell,22.26,1100
20171221093740,sell,22.34,1100
20171221093816,sell,22.42,1206
20171221104048,buy-pending,21.21,9300
20171221104048,buy-pending,21.26,6200
20171221104048,buy-pending,21.51,9700
20171221093022,sell,21.9,2700
20171221093031,sell,21.9,2600
20171221093053,sell,21.9,2600
20171221093119,sell,21.93,2600
20171221093138,sell,21.94,2600
20171221093205,sell,22.06,2600
20171221093229,sell,22.17,4000
20171221093243,sell,22.24,2600
20171221093301,sell,22.3,2600
20171221093311,sell,22.34,2600
20171221093323,sell,22.39,2600
20171221093335,sell,22.34,2600
20171221093339,sell,22.3,2600
20171221093341,sell,22.3,2600
20171221093343,sell,22.3,2600
20171221093351,sell,22.33,2600
20171221093405,sell,22.28,2600
20171221093406,sell,22.28,2600
20171221093411,sell,22.25,2600
20171221093416,sell,22.25,2600
20171221093419,sell,22.25,2600
20171221093427,sell,22.25,2600
20171221093429,sell,22.25,2600
20171221093450,sell,22.32,2600
20171221093501,sell,22.34,2600
20171221093514,sell,22.3,2600
20171221093521,sell-pending,22.26,2600
20171221093544,sell-pending,22.26,2600
20171221093555,sell,22.18,2400
20171221093607,sell,22.2,2400
20171221093649,sell,22.26,2400
20171221093740,sell,22.34,2400
20171221093816,sell,22.42,2456
20171221104048,buy-pending,21.21,29300
20171221104048,buy-pending,21.26,19500
20171221104048,buy-pending,21.51,25600
20171221093023,sell,21.9,5400
20171221093032,sell,21.9,5400
20171221093054,sell,21.9,5400
20171221093119,sell,21.93,5400
20171221093139,sell,21.94,5400
20171221093206,sell,22.06,5300
20171221093230,sell,22.17,8100
20171221093244,sell,22.24,5300
20171221093302,sell,22.3,5300
20171221093311,sell,22.34,5300
20171221093324,sell,22.39,5200
20171221093336,sell,22.34,5200
20171221093340,sell,22.3,5300
20171221093342,sell,22.3,5200
20171221093344,sell,22.3,5200
20171221093351,sell,22.33,5200
20171221093406,sell,22.28,5200
20171221093408,sell,22.28,5200
20171221093412,sell,22.25,5200
20171221093417,sell,22.25,5200
20171221093421,sell,22.25,5200
20171221093428,sell,22.25,5200
20171221093430,sell,22.25,5200
20171221093451,sell,22.32,5200
20171221093502,sell,22.34,5200
20171221093515,sell,22.3,5200
20171221093522,sell,22.26,5200
20171221093545,sell-pending,22.3,5200
20171221093545,sell-pending,22.26,5200
20171221093556,sell,22.18,5300
20171221093608,sell,22.2,5300
20171221093650,sell,22.26,5200
20171221093741,sell,22.34,5200
20171221093817,sell,22.42,5050
20171221104049,buy-pending,21.21,30200
20171221104049,buy-pending,21.26,20100
20171221104049,buy-pending,21.51,39200
20171221104917,buy-pending,23.2,158000
20171221105005,buy-pending,23.2,158000
20171221093111,sell,21.9,1400
20171221093240,sell,22.17,1200
20171221093051,sell,21.9,1600
20171221093149,sell-pending,21.99,2500
20171221093159,sell,21.9,1300
20171221093036,sell,21.92,1500
20171221093410,sell,22.32,5000
20171221093447,sell,22.35,5000
20171221093021,sell,21.9,1600
20171221093031,sell,21.9,1600
20171221093052,sell,21.9,1600
20171221093118,sell,21.93,1600
20171221093137,sell,21.94,1600
20171221093205,sell,22.06,1500
20171221093228,sell,22.17,2400
20171221093242,sell,22.24,1500
20171221093300,sell,22.3,1500
20171221093310,sell,22.34,1500
20171221093323,sell,22.39,1500
20171221093335,sell,22.34,1500
20171221093338,sell,22.3,1500
20171221093340,sell,22.3,1500
20171221093342,sell,22.3,1600
20171221093350,sell,22.33,1500
20171221093405,sell,22.28,1600
20171221093406,sell,22.28,1600
20171221093411,sell,22.25,1600
20171221093415,sell,22.25,1500
20171221093418,sell,22.25,1600
20171221093426,sell,22.25,1600
20171221093428,sell,22.25,1500
20171221093449,sell,22.32,1600
20171221093501,sell,22.34,1500
20171221093514,sell-pending,22.3,1600
20171221093521,sell-pending,22.26,1600
20171221093544,sell-pending,22.3,1600
20171221093544,sell-pending,22.26,1600
20171221093555,sell,22.18,1800
20171221093606,sell,22.2,1800
20171221093648,sell,22.26,1800
20171221093739,sell,22.34,1800
20171221093816,sell,22.42,1800
20171221104047,buy-pending,21.21,300
20171221104047,buy-pending,21.26,200
20171221104047,buy-pending,21.51,7800
20171221093205,sell,22.06,100
20171221093229,sell,22.17,100
20171221093243,sell,22.24,100
20171221093301,sell,22.3,100
20171221093311,sell,22.34,100
20171221093323,sell,22.39,100
20171221093335,sell,22.34,100
20171221093339,sell,22.3,100
20171221093341,sell,22.3,100
20171221093343,sell,22.3,100
20171221093351,sell,22.33,100
20171221093405,sell,22.28,100
20171221093407,sell,22.28,100
20171221093411,sell,22.25,100
20171221093416,sell,22.25,100
20171221093419,sell,22.25,100
20171221093427,sell,22.25,100
20171221093429,sell,22.25,100
20171221093450,sell,22.32,100
20171221093501,sell,22.34,100
20171221093514,sell,22.3,100
20171221093521,sell-pending,22.26,100
20171221093544,sell-pending,22.26,100
20171221093555,sell,22.18,100
20171221093607,sell,22.2,100
20171221093649,sell,22.26,100
20171221093740,sell,22.34,100
20171221093816,sell,22.42,100
20171221104048,buy-pending,21.21,"1,000.00"
20171221104048,buy-pending,21.26,600
20171221104048,buy-pending,21.51,800
20171221093419,sell,22.25,100
20171221093427,sell,22.25,100
20171221093429,sell,22.25,100
20171221093450,sell,22.32,100
20171221093501,sell,22.34,100
20171221093514,sell,22.3,100
20171221093521,sell-pending,22.26,100
20171221093544,sell-pending,22.26,100
20171221093555,sell,22.18,100
20171221093607,sell,22.2,100
20171221093649,sell,22.26,100
20171221093740,sell,22.34,100
20171221093816,sell,22.42,100
20171221104048,buy-pending,21.21,400
20171221104048,buy-pending,21.26,200
20171221104048,buy-pending,21.51,300
20171221101249,buy-pending,21.5100,7200
20171221101229,buy,23.4100,3600
20171222093909,sell,22.5,13300
20171222093912,sell,22.5,8900
20171222093931,sell,22.5,5900
20171222093945,sell,22.49,5900
20171222093953,sell,22.49,6000
20171222093909,sell,22.5,5600
20171222093912,sell,22.5,3700
20171222093931,sell,22.5,2500
20171222093945,sell,22.49,2500
20171222093953,sell,22.49,2500
