Date,type,price,quantity
20170816134018,buy-pending,10.21,1200
20170816134034,buy,10.22,4000
20170816135424,buy,10.24,1200
20170816135433,buy-pending,10.24,1200
20170816135501,buy,10.25,2600
20170816135545,buy,10.26,2600
20170816135741,buy,10.27,2600
20170816135746,buy,10.28,2600
20170816135753,buy,10.29,2600
20170816140133,buy-pending,10.21,1200
20170816140133,buy-pending,10.24,1200
20170816140407,buy-pending,10.29,2600
20170816140510,buy-pending,10.29,2600
20170816141012,buy,10.3,2500
20170816141113,buy-pending,10.3,2500
20170816141233,buy-pending,10.3,2500
20170816141603,buy-pending,10.3,2600
20170816141612,buy-pending,10.31,2600
20170816141618,buy,10.32,2600
20170816141814,buy-pending,10.33,2600
20170816141820,buy-pending,10.34,2600
20170816141826,buy,10.35,2600
20170816141831,buy-pending,10.35,2600
20170816141850,buy-pending,10.37,2600
20170816141856,buy-pending,10.38,2600
20170816141902,buy,10.39,2600
20170816141909,buy-pending,10.4,2600
20170816142031,buy-pending,10.3,2600
20170816142032,buy-pending,10.31,2600
20170816142032,buy-pending,10.33,2600
20170816142032,buy-pending,10.34,2600
20170816142032,buy-pending,10.35,2600
20170816142032,buy-pending,10.37,2600
20170816142032,buy-pending,10.38,2600
20170816142032,buy-pending,10.4,2600
20170816142724,buy,10.4,6700
20170816142806,buy,10.42,1900
20170816142815,buy,10.43,1900
20170816144421,buy-pending,10.39,1200
20170816144531,buy-pending,10.4,1200
20170816144540,buy,10.41,1200
20170816144631,buy,10.42,1200
20170816144639,buy,10.42,1200
20170816144922,buy,10.47,1200
20170816144950,buy,10.45,1200
20170816145040,buy,10.44,1200
20170816145049,buy,10.45,1200
20170816145123,buy-pending,10.43,1200
20170816145128,buy,10.44,1200
20170816145133,buy-pending,10.44,1200
20170816145145,buy,10.45,1200
20170816145152,buy-pending,10.44,1200
20170816145219,buy-pending,10.45,4600
20170816145226,buy-pending,10.45,4600
20170816145236,buy,10.5,4600
20170816145251,buy,10.58,1200
20170816145408,buy-pending,10.47,1200
20170816145414,buy,10.48,1200
20170816145430,buy,10.48,4600
20170816145433,buy,10.48,4600
20170816145557,buy,10.5,4600
20170816145601,buy,10.5,4600
20170816145607,buy,10.51,4600
20170816145611,buy,10.52,4600
20170816145616,buy,10.53,4600
20170816145625,buy-pending,10.53,4600
20170816145629,buy,10.54,4600
20170816145635,buy,10.59,4600
20170816145644,buy,10.57,4600
20170816145649,buy,10.59,4600
20170816145653,buy,10.59,4500
20170816145702,buy,10.6,4600
20170816145706,buy,10.6,4600
20170816145805,buy,10.58,4600
20170816145809,buy,10.58,4600
20170816145814,buy,10.6,4600
20170816145818,buy,10.6,4600
20170816145822,buy-pending,10.61,4500
20170816145826,buy,10.65,4500
20170816145833,buy,10.77,4500
20170816145843,buy,10.77,1900
20170816145849,buy,10.87,1800
20170816145857,buy,10.97,1800
20170817093252,sell,10.8,22900
20170817093338,buy-pending,10.61,4600
20170817093342,buy,10.62,4500
20170817093348,buy,10.64,4500
20170817093353,buy-pending,10.64,4500
20170817093357,buy-pending,10.64,4500
20170817093409,buy-pending,10.7,4500
20170817093420,buy,10.81,4400
20170817093425,buy,10.81,4400
20170817093426,buy,10.81,4400
20170817093434,buy,10.81,4400
20170817093441,buy,10.81,4300
20170817093511,buy-pending,10.78,43800
20170817093527,buy,10.79,6200
20170817093538,buy,10.79,4300
20170817093543,buy,10.8,4400
20170817093549,buy,10.8,4400
20170817093550,buy,10.8,4400
20170817093604,buy,10.84,43300
20170817093615,buy,10.93,6100
20170817093623,buy,10.96,6100
20170817093629,buy,10.96,6100
20170817093637,buy,10.96,6100
20170817093731,buy-pending,10.61,4600
20170817093731,buy-pending,10.62,4500
20170817093731,buy-pending,10.64,4500
20170817093731,buy-pending,10.64,4500
20170817093731,buy-pending,10.64,4500
20170817093732,buy-pending,10.7,4500
20170817093732,buy-pending,10.78,43800
20170817093732,buy-pending,10.84,43300
20170817093824,sell,10.78,2500
20170817093847,buy-pending,10.7,6400
20170817093854,buy-pending,10.71,6300
20170817093919,sell,10.75,2500
20170817094017,sell,10.78,2500
20170817094135,sell-pending,10.8,1200
20170817094221,sell,10.76,1200
20170817094224,sell,10.76,1200
20170817094240,buy-pending,10.7,6400
20170817094240,buy-pending,10.71,6300
20170817094305,sell,10.7,6300
20170817094306,sell,10.7,6300
20170817094357,sell,10.72,1200
20170817094426,sell-pending,10.78,33300
20170817094631,sell-pending,10.8,1200
20170817094632,sell-pending,10.78,33300
20170817094656,sell-pending,10.85,33900
20170817095429,sell,10.71,4300
20170817095636,sell,10.7,1200
20170817095924,sell,10.72,1800
20170817095931,sell-pending,10.73,1800
20170817100419,sell,10.68,1800
20170817100610,sell,10.68,3100
20170817100658,sell,10.65,3200
20170817100702,sell,10.65,3200
20170817100733,sell-pending,10.85,33900
20170817100733,sell-pending,10.73,1800
20170817100733,sell-pending,10.68,3100
20170817100733,sell-pending,10.65,3200
20170817100817,sell-pending,10.71,25900
